All-Genes	Product	Pathways of gene	Accession-1
ydjI	aldolase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycolysis VI (metazoan)"" // ""sucrose biosynthesis I (from photosynthesis)"""	E2348C_1900
ydjJ	"oxidoreductase, Zn-dependent and NAD(P)-binding"		E2348C_1901
ydjK	transporter		E2348C_1902
ydjL	"oxidoreductase, Zn-dependent and NAD(P)-binding"		E2348C_1903
ydjM	hypothetical protein		E2348C_1857
ydjN	transporter		E2348C_1858
ydjX	hypothetical protein		E2348C_1878
ydjY	hypothetical protein		E2348C_1879
ydjZ	hypothetical protein		E2348C_1880
yeaC	hypothetical protein		E2348C_1904
yeaD	hypothetical protein		E2348C_1907
yeaE	oxidoreductase		E2348C_1908
yeaG	hypothetical protein		E2348C_1910
yeaH	hypothetical protein		E2348C_1911
yeaI	diguanylate cyclase		E2348C_1912
yeaJ	diguanylate cyclase		E2348C_1913
yeaK	hypothetical protein		E2348C_1914
yeaL	hypothetical protein		E2348C_1916
yeaM	"DNA-binding transcriptional regulator, ARAC-type"		E2348C_1917
yeaN	transporter		E2348C_1918
yeaO	hypothetical protein		E2348C_1919
yeaP	diguanylate cyclase		E2348C_1921
yeaQ	hypothetical protein		E2348C_1922
yeaR	hypothetical protein		E2348C_1924
yeaY	lipoprotein		E2348C_1929
yeaZ	peptidase		E2348C_1930
yebA	hypothetical protein		E2348C_1981
yebB	hypothetical protein		E2348C_1987
yebC	hypothetical protein		E2348C_1989
yebE	hypothetical protein		E2348C_1971
yebF	hypothetical protein		E2348C_1972
yebG	DNA damage-inducible protein YebG		E2348C_1973
yebK	DNA-binding transcriptional regulator HexR		E2348C_1978
yebN	hypothetical protein		E2348C_1945
yebO	hypothetical protein		E2348C_1949
yebQ	transporter		E2348C_1953
yebR	hypothetical protein		E2348C_1957
yebS	hypothetical protein		E2348C_1958
yebT	hypothetical protein		E2348C_1959
yebU	rRNA (cytosine-C(5)-)-methyltransferase RsmF		E2348C_1960
yebV	hypothetical protein		E2348C_1961
yebW	hypothetical protein		E2348C_1962
yebY	hypothetical protein		E2348C_1964
yebZ	hypothetical protein		E2348C_1965
yecA	hypothetical protein		E2348C_2029
yecC	amino-acid ABC transporter ATP-binding protein YecC		E2348C_2035
yecD	hypothetical protein		E2348C_1992
yecE	hypothetical protein		E2348C_1993
yecF	hypothetical protein		E2348C_2033
yecH	hypothetical protein		E2348C_2027
yecJ	hypothetical protein		E2348C_2024
yecM	hypothetical protein		E2348C_2000
yecN	hypothetical protein		E2348C_1994
yecR	hypothetical protein		E2348C_2025
yecS	transporter subunit: membrane component of ABC superfamily		E2348C_2036
yedA	hypothetical protein		E2348C_2072
yedE	hypothetical protein		E2348C_2047
yedF	hypothetical protein		E2348C_2048
yedI	hypothetical protein		E2348C_2071
yedJ	hypothetical protein		E2348C_2075
yedK	hypothetical protein		E2348C_2049
yedL	acyltransferase		E2348C_2050
yedP	mannosyl-3-phosphoglycerate phosphatase	mannosylglycerate biosynthesis I	E2348C_2068
yedR	hypothetical protein		E2348C_2076
yedV	sensory kinase in two-component regulatory system with YedW		E2348C_2079
yedW	transcriptional regulatory protein YedW		E2348C_2080
yedX	hypothetical protein		E2348C_2081
yedY	sulfite oxidase subunit YedY	"sulfur oxidation II (Fe<sup>+3</sup>-dependent) // ""sulfite oxidation IV"" // ""sulfite oxidation I (sulfite oxidoreductase)"""	E2348C_2082
yedZ	sulfite oxidase subunit YedZ	"sulfur oxidation II (Fe<sup>+3</sup>-dependent) // ""sulfite oxidation IV"" // ""sulfite oxidation I (sulfite oxidoreductase)"""	E2348C_2083
yeeA	hypothetical protein		E2348C_2150
yeeF	amino-acid transporter		E2348C_2154
yeeL	ADP-heptose: LPS heptosyltransferase	"superpathway of lipopolysaccharide biosynthesis // ""Lipid A-core biosynthesis"""	E2348C_2087
yeeN	hypothetical protein		E2348C_2090
yeeO	hypothetical protein		E2348C_2120
yeeX	hypothetical protein		E2348C_2149
yeeY	DNA-binding transcriptional regulator		E2348C_2155
yeeZ	epimerase		E2348C_2156
yefM	antitoxin YefM		E2348C_2158
yegD	chaperone		E2348C_2212
yegH	fused membrane protein/ membrane protein		E2348C_2205
yegI	hypothetical protein		E2348C_2213
yegK	hypothetical protein		E2348C_2214
yegL	hypothetical protein		E2348C_2215
yegP	hypothetical protein		E2348C_2223
yegQ	peptidase		E2348C_2224
yegR	hypothetical protein		E2348C_2225
yegS	lipid kinase		E2348C_2226
yegT	nucleoside transporter		E2348C_2243
yegU	hydrolase		E2348C_2244
yegV	kinase		E2348C_2245
yegW	DNA-binding transcriptional regulator		E2348C_2246
yegX	hydrolase		E2348C_2247
yehA	fimbrial protein-like protein		E2348C_2254
yehB	outer membrane protein		E2348C_2255
yehD	fimbrial protein-like protein		E2348C_2257
yehE	hypothetical protein		E2348C_2258
yehH	regulator		E2348C_2261
yehI	hypothetical protein		E2348C_2262
yehL	transporter subunit: ATP-binding component of ABC superfamily		E2348C_2265
yehM	hypothetical protein		E2348C_2266
yehP	hypothetical protein		E2348C_2267
yehQ	hypothetical protein		E2348C_2268
yehR	hypothetical protein		E2348C_2269
yehS	hypothetical protein		E2348C_2270
yehT	two-component response-regulatory protein YehT		E2348C_2271
yehU	sensory kinase in two-component system with YehT		E2348C_2272
yehW	transporter subunit: membrane component of ABC superfamily		E2348C_2275
yehX	transporter subunit: ATP-binding component of ABC superfamily		E2348C_2276
yehY	transporter subunit: membrane component of ABC superfamily		E2348C_2277
yeiA	dihydropyrimidine dehydrogenase	"superpathway of pyrimidine ribonucleosides degradation // ""uracil degradation I (reductive)"""	E2348C_2293
yeiB	hypothetical protein		E2348C_2298
yeiC	hypothetical protein		E2348C_2312
yeiE	DNA-binding transcriptional regulator		E2348C_2303
yeiG	esterase		E2348C_2300
yeiH	hypothetical protein		E2348C_2304
yeiI	hypothetical protein		E2348C_2306
yeiL	DNA-binding transcriptional activator YeiL		E2348C_2309
yeiM	nucleoside transporter		E2348C_2310
yeiN	hypothetical protein		E2348C_2311
yeiP	elongation factor P		E2348C_2318
yeiQ	"dehydrogenase, NAD-dependent"		E2348C_2319
yeiR	hypothetical protein		E2348C_2320
yeiS	hypothetical protein		E2348C_2291
yeiT	oxidoreductase		E2348C_2292
yeiU	undecaprenyl pyrophosphate phosphatase		E2348C_2321
yeiW	hypothetical protein		E2348C_2317
yejA	oligopeptide transporter subunit		E2348C_2324
yejB	oligopeptide transporter subunit		E2348C_2325
yejE	oligopeptide transporter subunit		E2348C_2326
yejF	fused oligopeptide transporter subunits of ABC superfamilly: ATP-binding components		E2348C_2327
yejG	hypothetical protein		E2348C_2328
yejH	ATP-dependet helicase		E2348C_2331
yejK	nucleoid-associated protein NdpA		E2348C_2333
yejL	hypothetical protein		E2348C_2334
yejM	"hydrolase, inner membrane"		E2348C_2335
yfaD	hypothetical protein		E2348C_2387
yfaE	2Fe-2S ferredoxin		E2348C_2380
yfaL	adhesin		E2348C_2377
yfaP	hypothetical protein		E2348C_2370
yfaQ	hypothetical protein		E2348C_2371
yfaS	hypothetical protein		E2348C_2372
yfaT	hypothetical protein		E2348C_2373
yfaU	aldolase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycolysis VI (metazoan)"" // ""sucrose biosynthesis I (from photosynthesis)"""	E2348C_2389
yfaV	transporter		E2348C_2390
yfaW	enolase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""respiration (anaerobic)"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycerol degradation to butanol"" // ""glycolysis VI (metazoan)"" // ""formaldehyde assimilation I (serine pathway)"" // ""superpathway of glucose and xylose degradation"""	E2348C_2391
yfaX	DNA-binding transcriptional regulator		E2348C_2392
yfaY	competence damage-inducible protein A		E2348C_2393
yfaZ	outer membrane porin protein		E2348C_2394
yfbB	acyl-CoA thioester hydrolase	"superpathway of chorismate metabolism // ""superpathway of menaquinol-8 biosynthesis I"" // ""superpathway of demethylmenaquinol-8 biosynthesis"" // ""1,4-dihydroxy-2-naphthoate biosynthesis I"""	E2348C_2408
yfbH	hypothetical protein		E2348C_2400
yfbJ	hypothetical protein		E2348C_2403
yfbL	peptidase		E2348C_2414
yfbM	hypothetical protein		E2348C_2415
yfbQ	aminotransferase		E2348C_2430
yfbR	hypothetical protein		E2348C_2431
yfbS	transporter		E2348C_2432
yfbT	phosphatase		E2348C_2433
yfbU	hypothetical protein		E2348C_2434
yfbV	hypothetical protein		E2348C_2435
yfbW	hypothetical protein		E2348C_2402
yfcA	hypothetical protein		E2348C_2467
yfcC	hypothetical protein		E2348C_2438
yfcD	NUDIX hydrolase		E2348C_2439
yfcE	phosphodiesterase		E2348C_2440
yfcF	hypothetical protein		E2348C_2441
yfcG	glutathione S-transferase		E2348C_2442
yfcH	hypothetical protein		E2348C_2444
yfcI	hypothetical protein		E2348C_2445
yfcJ	hypothetical protein		E2348C_2462
yfcL	hypothetical protein		E2348C_2465
yfcM	hypothetical protein		E2348C_2466
yfcN	hypothetical protein		E2348C_2471
yfcO	hypothetical protein		E2348C_2472
yfcP	fimbrial subunit protein		E2348C_2473
yfcQ	fimbrial subunit protein		E2348C_2474
yfcR	fimbrial protein		E2348C_2475
yfcS	chaperone		E2348C_2476
yfcU	outer membrane usher protein		E2348C_2477
yfcV	fimbrial-protein like protein		E2348C_2478
yfcZ	hypothetical protein		E2348C_2482
yfdC	hypothetical protein		E2348C_2485
yfdE	hypothetical protein		E2348C_2564
yfdV	transporter YfdV		E2348C_2565
yfdX	hypothetical protein		E2348C_2568
yfdY	hypothetical protein		E2348C_2570
yfdZ	aminotransferase		E2348C_2572
yfeA	diguanylate cyclase		E2348C_2586
yfeC	DNA-binding transcriptional regulator		E2348C_2587
yfeD	DNA-binding transcriptional regulator		E2348C_2588
yfeH	hypothetical protein		E2348C_2595
yfeK	hypothetical protein		E2348C_2605
yfeN	hypothetical protein		E2348C_2593
yfeO	hypothetical protein		E2348C_2582
yfeR	DNA-binding transcriptional regulator		E2348C_2594
yfeX	hypothetical protein		E2348C_2615
yfeY	hypothetical protein		E2348C_2616
yfeZ	hypothetical protein		E2348C_2617
yffB	hypothetical protein		E2348C_2707
yfgA	cytoskeletal protein RodZ		E2348C_2799
yfgB	ribosomal RNA large subunit methyltransferase N		E2348C_2800
yfgC	peptidase		E2348C_2719
yfgD	oxidoreductase		E2348C_2720
yfgF	hypothetical protein		E2348C_2728
yfgG	hypothetical protein		E2348C_2729
yfgH	outer membrane lipoprotein		E2348C_2730
yfgI	hypothetical protein		E2348C_2731
yfgL	outer membrane protein assembly complex subunit YfgL		E2348C_2795
yfgM	hypothetical protein		E2348C_2796
yfgO	hypothetical protein		E2348C_2718
yfhB	hypothetical protein		E2348C_2837
yfhD	transglycosylase		E2348C_2835
yfhG	hypothetical protein		E2348C_2832
yfhH	DNA-binding transcriptional regulator		E2348C_2838
yfhL	(4Fe-4S)-binding protein		E2348C_2839
yfhM	hypothetical protein		E2348C_2803
yfhR	peptidase		E2348C_2817
yfiB	outer membrane lipoprotein		E2348C_2879
yfiC	S-adenosyl-L-methionine-dependent methyltransferase		E2348C_2852
yfiD	autonomous glycyl radical cofactor GrcA		E2348C_2856
yfiE	DNA-binding transcriptional regulator		E2348C_2854
yfiF	methyltransferase		E2348C_2858
yfiH	hypothetical protein		E2348C_2867
yfiL	hypothetical protein		E2348C_2876
yfiM	hypothetical protein		E2348C_2863
yfiN	hypothetical protein		E2348C_2878
yfiO	outer membrane protein assembly complex subunit YfiO		E2348C_2869
yfiP	hypothetical protein		E2348C_2860
yfiQ	fused acyl-CoA synthetase: NAD(P)-binding subunit/ATP-binding subunit		E2348C_2861
yfiR	hypothetical protein		E2348C_2877
yfjD	hypothetical protein		E2348C_2901
yfjF	hypothetical protein		E2348C_2906
yfjG	hypothetical protein		E2348C_2907
ygaC	hypothetical protein		E2348C_2934
ygaD	competence damage-inducible protein A	NAD salvage pathway I	E2348C_2963
ygaH	hypothetical protein		E2348C_2947
ygaM	hypothetical protein		E2348C_2935
ygaP	inner membrane protein with hydrolase activity		E2348C_2931
ygaU	LysM domain/BON superfamily protein		E2348C_2928
ygaV	DNA-binding transcriptional regulator		E2348C_2930
ygaW	hypothetical protein		E2348C_2933
ygaY	transporter		E2348C_2945
ygaZ	transporter		E2348C_2946
ygbA	hypothetical protein		E2348C_2998
ygbE	hypothetical protein		E2348C_3019
ygbI	DNA-binding transcriptional regulator		E2348C_3001
ygbJ	"dehydrogenase, with NAD(P)-binding Rossmann-fold domain"		E2348C_3002
ygbK	hypothetical protein		E2348C_3003
ygbL	aldolase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycolysis VI (metazoan)"" // ""sucrose biosynthesis I (from photosynthesis)"""	E2348C_3004
ygbM	hypothetical protein		E2348C_3005
ygbN	inner membrane permease YgbN		E2348C_3006
ygcC	hypothetical protein		E2348C_3059
ygcE	kinase		E2348C_3038
ygcF	hypothetical protein		E2348C_3044
ygcG	hypothetical protein		E2348C_3045
ygcN	oxidoreductase with FAD/NAD(P)-binding domain		E2348C_3029
ygcO	(4Fe-4S)-binding protein		E2348C_3030
ygcP	anti-terminator regulatory protein		E2348C_3031
ygcQ	flavoprotein		E2348C_3032
ygcR	flavoprotein		E2348C_3033
ygcS	transporter		E2348C_3034
ygcU	FAD containing dehydrogenase		E2348C_3035
ygcW	deoxygluconate dehydrogenase		E2348C_3036
ygdB	hypothetical protein		E2348C_3093
ygdD	hypothetical protein		E2348C_3074
ygdE	RNA 2'-O-ribose methyltransferase		E2348C_3073
ygdH	hypothetical protein		E2348C_3062
ygdI	hypothetical protein		E2348C_3076
ygdK	Fe-S metabolism protein		E2348C_3078
ygdL	hypothetical protein		E2348C_3079
ygdQ	hypothetical protein		E2348C_3102
ygdR	hypothetical protein		E2348C_3103
ygdT	hypothetical protein		E2348C_3100
ygeA	racemase		E2348C_3110
ygeR	tetratricopeptide repeat transcriptional regulator		E2348C_3117
ygeV	DNA-binding transcriptional regulator		E2348C_3121
ygeW	aspartate/ornithine carbamoyltransferase	"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis"" // ""UMP biosynthesis"" // ""arginine biosynthesis II (acetyl cycle)"" // ""arginine biosynthesis IV (archaebacteria)"" // ""arginine biosynthesis I (via L-ornithine)"" // ""citrulline degradation"""	E2348C_3122
ygeX	diaminopropionate ammonia-lyase		E2348C_3123
ygeY	peptidase		E2348C_3124
ygfA	ligase	"formylTHF biosynthesis // ""folate transformations I"""	E2348C_3163
ygfB	hypothetical protein		E2348C_3161
ygfI	DNA-binding transcriptional regulator		E2348C_3168
ygfJ	hypothetical protein		E2348C_3129
ygfM	selenate reductase subunit YgfM		E2348C_3133
ygfO	transporter		E2348C_3135
ygfQ	transporter		E2348C_3137
ygfS	"oxidoreductase, 4Fe-4S ferredoxin-type subunit"		E2348C_3138
ygfT	oxidoreductase Fe-S binding subunit		E2348C_3139
ygfU	transporter		E2348C_3140
ygfX	hypothetical protein		E2348C_3149
ygfY	hypothetical protein		E2348C_3150
ygfZ	global regulator		E2348C_3151
yggD	DNA-binding transcriptional regulator		E2348C_3181
yggE	hypothetical protein		E2348C_3169
yggF	"fructose-1,6-bisphosphatase II-like protein"		E2348C_3182
yggG	peptidase		E2348C_3188
yggI	hypothetical protein		E2348C_3197
yggL	hypothetical protein		E2348C_3212
yggM	hypothetical protein		E2348C_3209
yggN	hypothetical protein		E2348C_3211
yggP	dehydrogenase		E2348C_3183
yggR	transporter		E2348C_3203
yggS	hypothetical protein		E2348C_3204
yggT	hypothetical protein		E2348C_3205
yggU	hypothetical protein		E2348C_3206
yggX	hypothetical protein		E2348C_3215
yghA	oxidoreductase		E2348C_3291
yghB	hypothetical protein		E2348C_3295
yghG	hypothetical protein		E2348C_3251
yghJ	inner membrane lipoprotein		E2348C_3253
yghO	DNA-binding transcriptional regulator		E2348C_3261
yghQ	hypothetical protein		E2348C_3270
yghR	hypothetical protein		E2348C_3271
yghS	hypothetical protein		E2348C_3272
yghT	hypothetical protein		E2348C_3273
yghU	glutathione S-transferase		E2348C_3276
yghW	hypothetical protein		E2348C_3285
yghX	hydrolase		E2348C_3286
ygiB	hypothetical protein		E2348C_3332
ygiC	hypothetical protein		E2348C_3333
ygiD	hypothetical protein		E2348C_3337
ygiF	adenylate cyclase		E2348C_3347
ygiH	glycerol-3-phosphate acyltransferase PlsY	"phosphatidylglycerol biosynthesis II (non-plastidic) // ""CDP-diacylglycerol biosynthesis I"" // ""phosphatidylglycerol biosynthesis I (plastidic)"" // ""phospholipid biosynthesis I"" // ""CDP-diacylglycerol biosynthesis II"" // ""superpathway phosphatidate biosynthesis (yeast)"""	E2348C_3352
ygiN	quinol monooxygenase		E2348C_3318
ygiQ	hypothetical protein		E2348C_3301
ygiS	hypothetical protein		E2348C_3312
ygiV	transcriptional regulator		E2348C_3313
ygiW	hypothetical protein		E2348C_3314
ygjD	DNA-binding/iron metalloprotein/AP endonuclease		E2348C_3357
ygjG	putrescine--2-oxoglutarate aminotransferase	putrescine degradation I	E2348C_3366
ygjH	hypothetical protein		E2348C_3367
ygjI	transporter		E2348C_3371
ygjJ	hypothetical protein		E2348C_3372
ygjK	glycosyl hydrolase		E2348C_3373
ygjM	DNA-binding transcriptional regulator		E2348C_3375
ygjP	metal dependent hydrolase		E2348C_3377
ygjQ	thioredoxin-like protein		E2348C_3378
ygjR	NAD(P)-binding dehydrogenase		E2348C_3379
ygjV	hypothetical protein		E2348C_3383
yhaH	hypothetical protein		E2348C_3396
yhaJ	DNA-binding transcriptional regulator		E2348C_3397
yhaK	pirin		E2348C_3398
yhaL	hypothetical protein		E2348C_3399
yhaM	hypothetical protein		E2348C_3400
yhaO	transporter		E2348C_3401
yhbC	hypothetical protein		E2348C_3451
yhbE	hypothetical protein		E2348C_3463
yhbJ	hypothetical protein		E2348C_3484
yhbP	hypothetical protein		E2348C_3435
yhbQ	GIY-YIG nuclease superfamily protein		E2348C_3436
yhbS	acyltransferase		E2348C_3437
yhbT	lipid carrier protein		E2348C_3438
yhbU	peptidase (collagenase-like)		E2348C_3439
yhbV	protease		E2348C_3440
yhbW	hypothetical protein		E2348C_3441
yhbX	"hydrolase, inner membrane"		E2348C_3453
yhbY	RNA-binding protein YhbY		E2348C_3459
yhcB	cytochrome d ubiquinol oxidase subunit III	"succinate to cytochrome <i>bd</i> oxidase electron transfer // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_3504
